title,slug,oldCategory,newSection,newFormat,reason,state
"Not Only Gray, but Almost Blind in the Service of My God","not-only-gray-but-almost-blind-in-the-service-of-my-god-the-coug-chron",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Every Town a Border Town ΓÇô Even in Utah","every-town-a-border-town-even-in-utah-the-coug-chron",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Opinion: In Defense of Governor Cox","opinion-in-defense-of-governor-cox-the-coug-chron",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Christianity and the Crab Mentality","christianity-and-the-crab-mentality-the-coug-chron",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Editing a Prophet's Words","editing-a-prophets-words",opinion,faith,opinion,"opinion + faith keywords",PUBLISHED
"Above All Other Identities and Labels","above-all-other-identities-and-labels",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Open Borders or Christian Charity - Which?","open-borders-or-christian-charity-which-the-coug-chron",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"All Are Alike Unto God","all-are-alike-unto-god-the-coug-chron",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"In Puzzling SI Swimsuit Collab, BYU Tries to Have its Cake and Eat it Too","in-puzzling-si-swimsuit-collab-byu-tries-to-have-its-cake-and-eat-it-too-the-coug-chron",opinion,news,opinion,"opinion + campus-ish",PUBLISHED
"Is a Computer Programmer Greater than a Homemaker? Addressing Underlying Assumptions Made in BYU Classrooms about Careers and Rearing Children","is-a-computer-programmer-greater-than-a-homemaker-addressing-underlying-assumptions-made-in-byu-classrooms-about-careers-and-rearing-children-the-coug-chron",opinion,family,opinion,"opinion + family keywords",PUBLISHED
"Conservatives Need to Provide an Off-Ramp","conservatives-need-to-provide-an-off-ramp-the-coug-chron",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"BYUΓÇÖs Newspaper Highlights LGBTQ Groups Promoting 'Gender-Affirming Care'","byus-newspaper-highlights-lgbtq-groups-promoting-gender-affirming-care-the-coug-chron",opinion,family,opinion,"opinion + family keywords",PUBLISHED
"Pornography and Transgenderism","pornography-and-transgenderism-the-coug-chron",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Faith, Community, and History Intersect on Juneteenth","faith-community-amp-history-intersect-on-juneteenth-the-coug-chron",opinion,faith,opinion,"opinion + faith keywords",PUBLISHED
"The Iron Cowboy and Others Support O.U.R. in Legends BoxingΓÇÖs Executive Fight Night","the-iron-cowboy-and-others-support-o-u-r-in-legends-boxings-executive-fight-night",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"An Open Letter to BYU: From the Editor","an-open-letter-to-byu-from-the-editor",opinion,news,opinion,"opinion + campus-ish",PUBLISHED
"WPATH Cites Porn to Justify ""Eunuch"" Gender Identity","wpath-cites-porn-to-justify-eunuch-gender-identity",opinion,family,opinion,"opinion + family keywords",PUBLISHED
"Official Statement: Salt Lake Tribune Article and Petition","official-statement-salt-lake-tribune-article-and-petition-the-cougar-chronicle",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Opinion: The Danger of Romanticizing Marxism in the Humanities","the-danger-of-romanticizing-marxism-in-the-humanities-the-cougar-chronicle",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Opinion: The Dangerous Theology of Transgenderism","the-dangerous-theology-of-transgenderism-the-cougar-chronicle-genderbread",opinion,faith,opinion,"opinion + faith keywords",PUBLISHED
"Opinion: Little Women, A Grounded Feminist Novel for Turbulent Times","opinion-little-women-a-grounded-feminist-novel-for-turbulent-times-the-cougar-chronicle",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Opinion: The Religion of Climate Change Alarmism","opinion-the-religion-of-climate-change-alarmism",opinion,faith,opinion,"opinion + faith keywords",PUBLISHED
"Opinion: Conserving Conservatism","opinion-conserving-conservatism",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Editorial: The Thanksgiving of Our Forefathers","editorial-the-thanksgiving-of-our-forefathers",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Opinion: The Red Wave that Never Came","opinion-the-red-wave-that-never-came-2",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Opinion: Race Marxism at BYU","opinion-race-marxism-at-byu",opinion,news,opinion,"opinion + campus-ish",PUBLISHED
"The ""Doctrine of Belonging"" is Not Woke","the-doctrine-of-belonging-is-not-woke",opinion,faith,opinion,"opinion + faith keywords",PUBLISHED
